BatchID,SKU,Phase,Cycle,TS,Rate1,Rate2,Rate3,Rate4,AvgSyrup,AvgPause,AvgDrying,AvgSpeed1,AvgSpeed2,AvgSurupDF,AvgPauseDF,AvgDryingDF,AvgSpeed1DF,AvgSpeed2DF,ActionResult,driam,method_class
03-2024-05-14 22:02,Rb-EXBB,8,3,2024-05-15 06:31:26,0.0,0.5955056179775281,0.4044943820224719,0.0,1.0016037028968257,0.9931518164799003,0.9785990238484953,0.9521205623064094,0.9525732666190136,1.023677266997732,0.7739593442033198,0.9919063327502007,0.9521205623064094,0.9525732666190136,Bad,3,P8
03-2024-05-14 22:02,Rb-EXBB,8,4,2024-05-15 06:31:26,0.0078125,0.71875,0.2734375,0.0,0.9941142432961321,2.355732961323674,0.9228138454445985,0.9262153846153846,0.9154871794871795,1.006332608237721,0.6890133988185256,0.9776233950528231,0.9262153846153846,0.9154871794871795,Bad,3,P8
03-2024-05-14 22:02,Rb-EXBB,9,3,2024-05-15 06:31:26,0.05263157894736842,0.8654970760233918,0.08187134502923976,0.0,0.7939463807116746,0.5185263769872762,0.9939276508993138,0.9924115826185412,0.993642667570382,0.7939463807116746,0.5185263769872762,0.9939276508993138,0.9924115826185412,0.993642667570382,Good,3,other
03-2024-05-14 22:02,Rb-EXBB,10,2,2024-05-15 06:31:26,0.010638297872340425,0.9361702127659575,0.05319148936170213,0.0,1.0089583544880016,0.9592202244228505,0.8613205927092331,1.0097555242125058,1.0122355430183356,1.0375684135015482,1.028931256685692,0.9910533150245833,1.0097555242125058,1.0122355430183356,Good,3,P10A
03-2024-05-14 22:02,Rb-EXBB,10,3,2024-05-15 06:31:26,0.0,0.967391304347826,0.03260869565217391,0.0,1.0111621839717433,0.929525984076697,0.9151676815701314,1.0098981900452488,1.0107937405731524,1.0310191964053903,0.9971626484623751,1.0203096792334396,1.0098981900452488,1.0107937405731524,Good,3,P10A
03-2024-05-14 22:02,Rb-EXBB,10,5,2024-05-15 06:31:26,0.4811320754716981,0.5188679245283019,0.0,0.0,1.0096383606691668,0.8788210197816113,1.0462541074824605,1.0080128205128205,1.0042797888476025,1.0350936683267216,0.9694274436724212,1.0004208805919503,1.004037558685446,1.0003192488352457,Good,3,P10B
03-2024-05-14 22:02,Rb-EXBB,10,6,2024-05-15 06:31:26,0.8090909090909091,0.19090909090909092,0.0,0.0,0.9848225858478724,0.8271092978602615,1.174079777031772,1.0023653566229986,0.9840663339571637,1.05810358726644,0.9442581993974856,0.9798034659914843,0.997387750879371,0.9791795985930065,Good,3,P10B
03-2024-05-14 22:02,Rb-EXBB,11,1,2024-05-15 06:31:26,0.40963855421686746,0.5903614457831325,0.0,0.0,1.0828023238825832,0.9784387017957703,1.0806579239590959,1.0164473684210527,1.0211242392120334,1.0244948749187384,1.0058112281590197,1.0261015429037563,1.015901771336554,1.0205761317299014,Good,3,P11+
03-2024-05-14 22:02,Rb-EXBB,12,1,2024-05-15 06:31:26,0.9117647058823529,0.08823529411764706,0.0,0.0,1.080894672567556,0.9821230045961976,1.1635105060079958,1.0085948430941436,0.9885402092078085,1.0022209191654838,0.9821230045961976,1.0219296486453386,1.0085948430941436,0.9885402092078085,Good,3,P11+
03-2024-05-14 22:02,Rb-EXBB,14,1,2024-05-15 06:31:26,0.8235294117647058,0.17647058823529413,0.0,0.0,0.885628248451561,0.830227976762592,0.8526570423401372,1.002803738317757,0.9815916171056357,0.9884937060314539,0.830227976762592,1.0014143439910148,1.002803738317757,0.9815916171056357,Good,3,other
03-2024-05-15 07:02,Rb-EXSB,8,2,2024-05-15 16:31:17,0.0,1.0,0.0,0.0,0.9990627632403418,0.995371030522514,0.9382655766148259,0.9549271738699052,0.9565682422510617,1.0262487553176722,0.7755464822746889,0.9916342109469685,0.9549271738699052,0.9565682422510617,Good,3,P8
03-2024-05-15 07:02,Rb-EXSB,9,1,2024-05-15 16:31:17,0.0,1.0,0.0,0.0,0.8630463029714646,0.8862334472974736,0.996391970964426,0.9851234999787982,0.9865489971589705,0.8686702127197944,0.7105028648240242,1.0002920767562635,0.9851234999787982,0.9865489971589705,Good,3,other
03-2024-05-15 07:02,Rb-EXSB,9,2,2024-05-15 16:31:17,0.0,0.9140625,0.0859375,0.0,0.8006230987047641,0.5535303032231152,0.9887933332998808,0.9930085072184351,0.9939846373154445,0.8006230987047641,0.5535303032231152,0.9887933332998808,0.9930085072184351,0.9939846373154445,Good,3,other
03-2024-05-15 07:02,Rb-EXSB,10,2,2024-05-15 16:31:17,0.08064516129032258,0.9193548387096774,0.0,0.0,0.9686508417995429,0.915215190649946,0.8992753170896322,0.9982558744021626,0.9990369619463507,0.9926431767386513,0.9769587286698913,0.9797624295554827,0.9982558744021626,0.9990369619463507,Good,3,P10A
03-2024-05-15 07:02,Rb-EXSB,10,5,2024-05-15 16:31:17,0.9886363636363636,0.011363636363636364,0.0,0.0,1.010146293108282,0.8957256221669337,1.0025575301487089,1.0086412770236302,1.0064511060894525,1.033730593079481,0.9788467975869511,1.0063901888755742,1.0059859596339478,1.0038015544750762,Good,3,P10B
03-2024-05-15 07:02,Rb-EXSB,10,6,2024-05-15 16:31:17,0.9393939393939394,0.06060606060606061,0.0,0.0,0.9848225858478724,0.8271092978602615,1.174079777031772,1.0023653566229986,0.9840663339571637,1.05810358726644,0.9442581993974856,0.9798034659914843,0.997387750879371,0.9791795985930065,Good,3,P10B
03-2024-05-15 07:02,Rb-EXSB,13,1,2024-05-15 16:31:17,0.8723404255319149,0.1276595744680851,0.0,0.0,1.0485135024323182,0.9428083874724734,1.0523913839680679,1.0096405158747161,0.9971863976027774,1.0101197677212481,0.9512338895862393,1.0188601297566418,1.0094675063188108,0.9970155221544456,Good,3,P11+
03-2024-05-15 16:50,Rb-EXSB,8,3,2024-05-16 00:30:30,0.015625,0.96875,0.015625,0.0,1.0016037028968257,0.9931518164799003,0.9785990238484953,0.9521205623064094,0.9525732666190136,1.023677266997732,0.7739593442033198,0.9919063327502007,0.9521205623064094,0.9525732666190136,Good,3,P8
03-2024-05-15 16:50,Rb-EXSB,9,1,2024-05-16 00:30:30,0.32558139534883723,0.627906976744186,0.046511627906976744,0.0,0.8105371895849787,0.7040133938684452,0.9995958520651316,0.9927078688892192,0.9943569225313736,0.8111503674777063,0.593508862749386,1.0017850579002128,0.9927078688892192,0.9943569225313736,Good,3,other
